hydrologic_group,area_pct,mean_organic_matter,mean_bare_frequency,mean_ndvi_trend,pct_flagged
0.0,0.003,3.754,0.0,-0.008,0.0
0.017,0.003,3.423,0.0,0.001,0.0
0.03,0.003,5.108,0.0,-0.03,0.0
0.033,0.003,4.804,0.0,-0.031,0.0
0.034,0.003,5.301,0.0,-0.031,0.0
0.038,0.003,4.455,0.0,-0.004,0.0
0.039,0.003,4.197,0.0,-0.01,0.0
0.039,0.003,4.872,0.0,-0.03,0.0
0.04,0.003,3.165,0.0,-0.015,0.0
0.041,0.003,4.265,0.0,0.009,0.0
0.042,0.003,2.871,0.0,-0.005,0.0
0.044,0.003,5.035,0.0,-0.026,0.0
0.047,0.003,4.264,0.0,-0.011,0.0
0.047,0.003,4.184,0.0,0.0,0.0
0.054,0.003,4.928,0.0,-0.014,0.0
0.054,0.003,5.03,0.0,-0.015,0.0
0.055,0.003,3.403,0.0,-0.008,0.0
0.055,0.003,4.611,0.0,-0.018,0.0
0.057,0.003,4.603,0.0,-0.007,0.0
0.059,0.003,3.925,0.0,-0.005,0.0
0.063,0.003,3.975,0.0,-0.03,0.0
0.064,0.003,3.719,0.0,-0.027,0.0
0.064,0.003,4.353,0.0,0.023,0.0
0.064,0.003,4.507,0.0,0.002,0.0
0.065,0.003,5.727,0.0,-0.005,0.0
0.065,0.003,3.755,0.0,0.008,0.0
0.065,0.003,5.179,0.0,-0.025,0.0
0.067,0.003,5.212,0.0,-0.004,0.0
0.067,0.003,2.763,0.0,0.012,0.0
0.068,0.003,4.685,0.0,-0.013,0.0
0.069,0.003,2.947,0.0,-0.001,0.0
0.069,0.003,4.695,0.0,-0.015,0.0
0.069,0.003,4.959,0.0,-0.005,0.0
0.069,0.003,4.649,0.0,-0.012,0.0
0.072,0.003,4.871,0.0,0.01,0.0
0.072,0.003,4.628,0.0,0.004,0.0
0.072,0.003,4.097,0.0,-0.005,0.0
0.072,0.003,5.181,0.0,-0.011,0.0
0.072,0.003,3.764,0.0,-0.009,0.0
0.073,0.003,3.095,0.0,0.004,0.0
0.074,0.003,4.99,0.0,-0.022,0.0
0.074,0.003,4.903,0.0,-0.002,0.0
0.076,0.003,4.321,0.0,0.011,0.0
0.076,0.003,4.326,0.0,-0.029,0.0
0.077,0.003,5.179,0.0,-0.031,0.0
0.078,0.003,5.086,0.0,0.006,0.0
0.078,0.003,4.588,0.0,-0.013,0.0
0.079,0.003,4.716,0.0,-0.011,0.0
0.08,0.003,4.827,0.0,0.0,0.0
0.08,0.003,5.949,0.0,-0.01,0.0
0.08,0.003,3.068,0.0,-0.001,0.0
0.081,0.003,2.777,0.0,-0.009,0.0
0.081,0.003,4.654,0.0,-0.0,0.0
0.081,0.003,4.456,0.0,-0.037,0.0
0.081,0.003,6.567,0.0,0.0,0.0
0.082,0.003,4.041,0.0,-0.019,0.0
0.082,0.003,4.814,0.0,-0.01,0.0
0.082,0.003,3.969,0.0,-0.006,0.0
0.082,0.003,4.483,0.0,-0.023,0.0
0.082,0.003,4.181,0.0,-0.015,0.0
0.083,0.003,6.069,0.0,-0.002,0.0
0.083,0.003,4.128,0.0,-0.0,0.0
0.083,0.003,4.206,0.0,0.002,0.0
0.084,0.003,4.757,0.0,0.006,0.0
0.084,0.003,4.496,0.0,0.01,0.0
0.084,0.003,4.182,0.0,-0.017,0.0
0.085,0.003,4.5,0.0,-0.033,0.0
0.086,0.003,4.747,0.0,0.013,0.0
0.086,0.003,6.258,0.0,0.002,0.0
0.087,0.003,5.189,0.0,0.005,0.0
0.087,0.003,3.646,0.0,0.005,0.0
0.088,0.003,5.525,0.0,-0.015,0.0
0.089,0.003,4.337,0.0,0.002,0.0
0.09,0.003,5.428,0.0,0.005,0.0
0.091,0.003,4.339,0.0,-0.018,0.0
0.091,0.003,5.581,0.0,-0.004,0.0
0.092,0.003,4.258,0.0,-0.03,0.0
0.093,0.003,4.842,0.0,0.001,0.0
0.093,0.003,4.587,0.0,-0.017,0.0
0.093,0.003,4.572,0.0,0.001,0.0
0.093,0.003,4.953,0.0,0.007,0.0
0.095,0.003,4.887,0.0,0.01,0.0
0.095,0.003,4.385,0.0,0.002,0.0
0.096,0.003,5.502,0.0,0.003,0.0
0.097,0.003,4.104,0.0,-0.027,0.0
0.097,0.003,5.554,0.0,-0.012,0.0
0.097,0.003,5.496,0.0,0.008,0.0
0.097,0.003,4.335,0.0,-0.003,0.0
0.097,0.003,4.756,0.0,-0.006,0.0
0.097,0.003,4.686,0.0,0.005,0.0
0.098,0.003,5.749,0.0,-0.004,0.0
0.098,0.003,5.099,0.0,-0.006,0.0
0.098,0.003,4.537,0.0,-0.005,0.0
0.098,0.003,3.776,0.0,-0.011,0.0
0.098,0.003,4.998,0.0,-0.024,0.0
0.099,0.003,6.725,0.0,0.001,0.0
0.099,0.003,4.254,0.0,-0.033,0.0
0.099,0.003,5.721,0.0,-0.002,0.0
0.099,0.003,4.512,0.0,-0.012,0.0
0.099,0.003,5.089,0.0,-0.006,0.0
0.099,0.003,4.549,0.0,-0.012,0.0
0.099,0.003,4.516,0.0,-0.003,0.0
0.1,0.003,4.783,0.0,-0.033,0.0
0.1,0.003,4.823,0.0,-0.008,0.0
0.101,0.003,5.107,0.0,0.009,0.0
0.101,0.003,4.757,0.0,-0.007,0.0
0.101,0.003,4.766,0.0,0.007,0.0
0.102,0.003,4.772,0.0,0.007,0.0
0.103,0.003,5.31,0.0,-0.002,0.0
0.103,0.003,4.575,0.0,-0.006,0.0
0.103,0.003,4.887,0.0,-0.0,0.0
0.103,0.003,5.524,0.0,-0.012,0.0
